ID,Age,Gender,Occupation,Phone Type,Current Bike,Relationship,Response
1384,19,Male ,Student,High End,125 to 180,Committed,Purchased
1385,18,Male ,Student,High End,Below 125,Married,Purchased
1386,24,Female,Student,High End,180 to 220,Married,Purchased
1387,23,Female,Student,High End,125 to 180,Single,Purchased
1388,18,Male ,Student,High End,180 to 220,Single,Purchased
1389,24,Female,Student,High End,220 and Above,Single,Purchased
1390,19,Female,Student,High End,125 to 180,Complicated,Purchased
1391,24,Female,Student,High End,180 to 220,Complicated,Purchased
1392,18,Male ,Student,High End,180 to 220,Committed,Purchased
1393,23,Female,Student,High End,Below 125,Single,Purchased
1394,18,Male ,Student,High End,No Bike,Complicated,Purchased
1395,22,Female,Student,High End,180 to 220,Single,Purchased
1396,21,Female,Student,High End,180 to 220,Single,Purchased
1397,19,Male ,Student,High End,125 to 180,Committed,Purchased
1398,18,Male ,Student,High End,Below 125,Married,Purchased
1399,24,Female,Student,High End,180 to 220,Married,Purchased
1400,23,Female,Student,High End,125 to 180,Single,Purchased
1401,18,Male ,Student,High End,180 to 220,Single,Purchased
1402,24,Female,Student,High End,220 and Above,Single,Purchased
1403,19,Female,Student,High End,125 to 180,Complicated,Purchased
1404,24,Female,Student,High End,180 to 220,Complicated,Purchased
1405,18,Male ,Student,High End,180 to 220,Committed,Purchased
1406,23,Female,Student,High End,Below 125,Single,Purchased
1407,18,Male ,Student,High End,No Bike,Complicated,Purchased
1408,22,Female,Student,High End,180 to 220,Single,Purchased
1409,21,Female,Student,High End,180 to 220,Single,Purchased
1410,19,Male ,Student,High End,125 to 180,Committed,Purchased
1411,18,Male ,Student,High End,Below 125,Married,Purchased
1412,24,Female,Student,High End,180 to 220,Married,Purchased
1413,23,Female,Student,High End,125 to 180,Single,Purchased
1414,18,Male ,Student,High End,180 to 220,Single,Purchased
1415,24,Female,Student,High End,220 and Above,Single,Purchased
1416,19,Female,Student,High End,125 to 180,Complicated,Purchased
1417,24,Female,Student,High End,180 to 220,Complicated,Purchased
1418,18,Male ,Student,High End,180 to 220,Committed,Purchased
1419,23,Female,Student,High End,Below 125,Single,Purchased
1420,18,Male ,Student,High End,No Bike,Complicated,Purchased
1421,22,Female,Student,High End,180 to 220,Single,Purchased
1422,21,Female,Student,High End,180 to 220,Single,Purchased
1423,19,Male ,Student,High End,125 to 180,Committed,Purchased
1424,18,Male ,Student,High End,Below 125,Married,Purchased
1425,24,Female,Student,High End,180 to 220,Married,Purchased
1426,23,Female,Student,High End,125 to 180,Single,Purchased
1427,18,Male ,Student,High End,180 to 220,Single,Purchased
1428,24,Female,Student,High End,220 and Above,Single,Purchased
1429,19,Female,Student,High End,125 to 180,Complicated,Purchased
1430,24,Female,Student,High End,180 to 220,Complicated,Purchased
1431,18,Male ,Student,High End,180 to 220,Committed,Purchased
1432,23,Female,Student,High End,Below 125,Single,Purchased
1433,18,Male ,Student,High End,No Bike,Complicated,Purchased
1434,22,Female,Student,High End,180 to 220,Single,Purchased
1435,21,Female,Student,High End,180 to 220,Single,Purchased
1436,19,Male ,Student,High End,125 to 180,Committed,Purchased
1437,18,Male ,Student,High End,Below 125,Married,Purchased
1438,24,Female,Student,High End,180 to 220,Married,Purchased
1439,23,Female,Student,High End,125 to 180,Single,Purchased
1440,18,Male ,Student,High End,180 to 220,Single,Purchased
1441,24,Female,Student,High End,220 and Above,Single,Purchased
1442,19,Female,Student,High End,125 to 180,Complicated,Purchased
1443,24,Female,Student,High End,180 to 220,Complicated,Purchased
1444,18,Male ,Student,High End,180 to 220,Committed,Purchased
1445,23,Female,Student,High End,Below 125,Single,Purchased
1446,18,Male ,Student,High End,No Bike,Complicated,Purchased
1447,22,Female,Student,High End,180 to 220,Single,Purchased
1448,21,Female,Student,High End,180 to 220,Single,Purchased
1449,19,Male ,Student,High End,125 to 180,Committed,Purchased
1450,18,Male ,Student,High End,Below 125,Married,Purchased
1451,24,Female,Student,High End,180 to 220,Married,Purchased
1452,23,Female,Student,High End,125 to 180,Single,Purchased
1453,18,Male ,Student,High End,180 to 220,Single,Purchased
1454,24,Female,Student,High End,220 and Above,Single,Purchased
1455,19,Female,Student,High End,125 to 180,Complicated,Purchased
1456,24,Female,Student,High End,180 to 220,Complicated,Purchased
1457,18,Male ,Student,High End,180 to 220,Committed,Purchased
1458,23,Female,Student,High End,Below 125,Single,Purchased
1459,18,Male ,Student,High End,No Bike,Complicated,Purchased
1460,22,Female,Student,High End,180 to 220,Single,Purchased
1461,21,Female,Student,High End,180 to 220,Single,Purchased
1462,19,Male ,Student,High End,125 to 180,Committed,Purchased
1463,18,Male ,Student,High End,Below 125,Married,Purchased
1464,24,Female,Student,High End,180 to 220,Married,Purchased
1465,23,Female,Student,High End,125 to 180,Single,Purchased
1466,18,Male ,Student,High End,180 to 220,Single,Purchased
1467,24,Female,Student,High End,220 and Above,Single,Purchased
1468,19,Female,Student,High End,125 to 180,Complicated,Purchased
1469,24,Female,Student,High End,180 to 220,Complicated,Purchased
1470,18,Male ,Student,High End,180 to 220,Committed,Purchased
1471,23,Female,Student,High End,Below 125,Single,Purchased
1472,18,Male ,Student,High End,No Bike,Complicated,Purchased
1473,22,Female,Student,High End,180 to 220,Single,Purchased
1474,21,Female,Student,High End,180 to 220,Single,Purchased
1475,19,Male ,Student,High End,125 to 180,Committed,Purchased
1476,18,Male ,Student,High End,Below 125,Married,Purchased
1477,24,Female,Student,High End,180 to 220,Married,Purchased
1478,23,Female,Student,High End,125 to 180,Single,Purchased
1479,18,Male ,Student,High End,180 to 220,Single,Purchased
1480,24,Female,Student,High End,220 and Above,Single,Purchased
1481,19,Female,Student,High End,125 to 180,Complicated,Purchased
1482,24,Female,Student,High End,180 to 220,Complicated,Purchased
1483,18,Male ,Student,High End,180 to 220,Committed,Purchased
1484,23,Female,Student,High End,Below 125,Single,Purchased
1485,18,Male ,Student,High End,No Bike,Complicated,Purchased
1486,22,Female,Student,High End,180 to 220,Single,Purchased
1487,21,Female,Student,High End,180 to 220,Single,Purchased
1488,19,Male ,Student,High End,125 to 180,Committed,Purchased
1489,18,Male ,Student,High End,Below 125,Married,Purchased
1490,24,Female,Student,High End,180 to 220,Married,Purchased
1491,23,Female,Student,High End,125 to 180,Single,Purchased
1492,18,Male ,Student,High End,180 to 220,Single,Purchased
1493,24,Female,Student,High End,220 and Above,Single,Purchased
1494,19,Female,Student,High End,125 to 180,Complicated,Purchased
1495,24,Female,Student,High End,180 to 220,Complicated,Purchased
1496,18,Male ,Student,High End,180 to 220,Committed,Purchased
1497,23,Female,Student,High End,Below 125,Single,Purchased
1498,18,Male ,Student,High End,No Bike,Complicated,Purchased
1499,22,Female,Student,High End,180 to 220,Single,Purchased
1500,21,Female,Student,High End,180 to 220,Single,Purchased
1501,19,Male ,Student,High End,125 to 180,Committed,Purchased
1502,18,Male ,Student,High End,Below 125,Married,Purchased
1503,24,Female,Student,High End,180 to 220,Married,Purchased
1504,23,Female,Student,High End,125 to 180,Single,Purchased
1505,18,Male ,Student,High End,180 to 220,Single,Purchased
1506,24,Female,Student,High End,220 and Above,Single,Purchased
1507,19,Female,Student,High End,125 to 180,Complicated,Purchased
1508,24,Female,Student,High End,180 to 220,Complicated,Purchased
1509,18,Male ,Student,High End,180 to 220,Committed,Purchased
1510,23,Female,Student,High End,Below 125,Single,Purchased
1511,18,Male ,Student,High End,No Bike,Complicated,Purchased
1512,22,Female,Student,High End,180 to 220,Single,Purchased
1513,21,Female,Student,High End,180 to 220,Single,Purchased
1514,19,Male ,Student,High End,125 to 180,Committed,Purchased
1515,18,Male ,Student,High End,Below 125,Married,Purchased
1516,24,Female,Student,High End,180 to 220,Married,Purchased
1517,23,Female,Student,High End,125 to 180,Single,Purchased
1518,18,Male ,Student,High End,180 to 220,Single,Purchased
